

FT	 ID	 AT	 WT	 ST	

34	 90	 29	 1	 4
35	 108	 30	 2	 3
35	 98	 30	 1	 4
35	 95	 30	 1	 4
35	 109	 30	 1	 4
36	 107	 30	 2	 4
36	 100	 30	 2	 4
36	 96	 30	 2	 4
37	 116	 36	 1	 0
39	 126	 37	 1	 1
39	 120	 37	 1	 1
39	 119	 37	 1	 1
39	 115	 36	 1	 2
39	 112	 34	 1	 4
40	 118	 37	 1	 2
40	 117	 36	 1	 3
40	 113	 35	 1	 4
41	 135	 38	 2	 1
41	 137	 38	 2	 1
41	 143	 38	 2	 1
42	 148	 39	 2	 1
42	 123	 37	 3	 2
42	 128	 38	 1	 3
42	 146	 38	 1	 3
42	 111	 33	 1	 8
43	 153	 41	 1	 1
43	 138	 38	 3	 2
43	 122	 37	 2	 4
43	 130	 38	 1	 4
43	 129	 38	 1	 4
43	 145	 38	 1	 4
43	 144	 38	 1	 4
43	 127	 37	 1	 5
43	 125	 37	 1	 5
44	 155	 42	 1	 1
44	 132	 38	 4	 2
44	 149	 39	 2	 3
44	 134	 38	 3	 3
44	 131	 38	 2	 4
44	 141	 38	 2	 4
44	 139	 38	 2	 4
44	 121	 37	 2	 5
45	 165	 43	 1	 1
45	 133	 38	 4	 3
45	 142	 38	 3	 4
45	 114	 36	 1	 8
46	 160	 43	 1	 2
46	 163	 43	 1	 2
46	 156	 42	 1	 3
46	 147	 38	 5	 3
48	 177	 45	 1	 2
48	 172	 44	 2	 2
48	 166	 43	 2	 3
48	 154	 42	 3	 3
48	 161	 43	 1	 4
48	 159	 43	 1	 4
48	 140	 38	 3	 7
49	 185	 47	 1	 1
49	 186	 47	 1	 1
49	 180	 46	 1	 2
49	 181	 46	 1	 2
49	 170	 44	 2	 3
49	 162	 43	 2	 4
49	 173	 44	 1	 4
49	 171	 44	 1	 4
50	 184	 47	 1	 2
50	 175	 45	 2	 3
51	 189	 47	 2	 2
51	 190	 48	 1	 2
51	 191	 48	 1	 2
51	 192	 48	 1	 2
51	 179	 46	 1	 4
51	 157	 43	 3	 5
51	 169	 43	 1	 7
52	 199	 50	 2	 0
52	 193	 48	 2	 2
52	 187	 47	 1	 4
52	 188	 47	 1	 4
52	 183	 46	 1	 5
52	 174	 45	 2	 5
53	 203	 52	 1	 0
53	 164	 43	 5	 5
55	 200	 51	 1	 3
55	 196	 50	 1	 4
55	 197	 50	 1	 4
55	 198	 50	 1	 4
55	 194	 49	 1	 5
56	 201	 52	 1	 3
57	 208	 55	 1	 1
57	 207	 54	 1	 2
57	 205	 54	 1	 2
57	 202	 52	 1	 4
58	 218	 57	 1	 0
58	 209	 55	 1	 2
58	 206	 54	 1	 3
59	 220	 57	 1	 1
59	 217	 56	 2	 1
59	 212	 56	 1	 2
60	 222	 57	 2	 1
60	 214	 56	 2	 2
60	 213	 56	 1	 3
60	 210	 56	 1	 3
62	 221	 57	 4	 1
62	 219	 57	 3	 2
62	 226	 57	 2	 3
62	 224	 57	 1	 4
62	 227	 57	 1	 4
63	 228	 57	 2	 4
63	 223	 57	 1	 5
64	 216	 56	 1	 7
................................................
................................................
Region A:
	Orders: 39 [Norm: 7 , Froz: 18, VIP: 14]
	Motors: 13[Norm: 5 , Froz: 1, VIP: 7]
	Avg Wait = 1, Avg Serv = 3
Region B:
	Orders: 60 [Norm: 10 , Froz: 25, VIP: 25]
	Motors: 15[Norm: 5 , Froz: 9, VIP: 1]
	Avg Wait = 1, Avg Serv = 2
Region C:
	Orders: 54 [Norm: 6 , Froz: 22, VIP: 26]
	Motors: 16[Norm: 5 , Froz: 5, VIP: 6]
	Avg Wait = 1, Avg Serv = 2
Region D:
	Orders: 47 [Norm: 3 , Froz: 16, VIP: 28]
	Motors: 17[Norm: 5 , Froz: 6, VIP: 6]
	Avg Wait = 1, Avg Serv = 2


Total Information for the whole restaurant:
	Orders: 200
	Motors: 61
	Avg Wait = 1 , Avg Serv = 2
