

FT	 ID	 AT	 WT	 ST	

77	 257	 71	 5	 1
77	 263	 73	 1	 3
77	 246	 69	 4	 4
78	 277	 77	 1	 0
78	 267	 74	 1	 3
79	 268	 75	 3	 1
79	 278	 77	 1	 1
79	 270	 75	 1	 3
79	 271	 75	 1	 3
80	 284	 78	 2	 0
80	 287	 78	 1	 1
80	 288	 78	 1	 1
80	 286	 78	 1	 1
80	 282	 77	 1	 2
81	 274	 77	 1	 3
81	 269	 75	 2	 4
82	 289	 79	 2	 1
82	 285	 78	 1	 3
82	 272	 76	 1	 5
83	 294	 81	 1	 1
83	 297	 81	 1	 1
83	 291	 80	 1	 2
83	 275	 77	 3	 3
83	 283	 77	 2	 4
83	 279	 77	 1	 5
84	 290	 80	 2	 2
84	 292	 80	 1	 3
85	 273	 77	 7	 1
85	 299	 82	 1	 2
85	 296	 81	 1	 3
85	 276	 77	 1	 7
86	 302	 82	 1	 3
86	 293	 81	 1	 4
87	 301	 82	 1	 4
90	 300	 82	 4	 4
90	 295	 81	 4	 5
90	 298	 81	 2	 7
................................................
................................................
Region A:
	Orders: 65 [Norm: 7 , Froz: 24, VIP: 34]
	Motors: 5[Norm: 0 , Froz: 2, VIP: 3]
	Avg Wait = 1, Avg Serv = 3
Region B:
	Orders: 71 [Norm: 2 , Froz: 25, VIP: 44]
	Motors: 14[Norm: 5 , Froz: 5, VIP: 4]
	Avg Wait = 1, Avg Serv = 2
Region C:
	Orders: 71 [Norm: 13 , Froz: 28, VIP: 30]
	Motors: 15[Norm: 7 , Froz: 3, VIP: 5]
	Avg Wait = 1, Avg Serv = 2
Region D:
	Orders: 65 [Norm: 10 , Froz: 19, VIP: 36]
	Motors: 16[Norm: 8 , Froz: 7, VIP: 1]
	Avg Wait = 1, Avg Serv = 2


Total Information for the whole restaurant:
	Orders: 272
	Motors: 50
	Avg Wait = 1 , Avg Serv = 2
